Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Season
1,Barcelona (C),38,28,4,6,102,39,63,88,24/25
2,Real Madrid,38,26,6,6,78,38,40,84,24/25
3,Atletico Madrid,38,22,10,6,68,30,38,76,24/25
4,Athletic Bilbao,38,19,13,6,54,29,25,70,24/25
5,Villarreal,38,20,10,8,71,51,20,70,24/25
6,Real Betis,38,16,12,10,57,50,7,60,24/25
7,Celta Vigo,38,16,7,15,59,57,2,55,24/25
8,Rayo Vallecano,38,13,13,12,41,45,-4,52,24/25
9,Osasuna,38,12,16,10,48,52,-4,52,24/25
10,Mallorca,38,13,9,16,35,44,-9,48,24/25
11,Real Sociedad,38,13,7,18,35,46,-11,46,24/25
12,Valencia,38,11,13,14,44,54,-10,46,24/25
13,Getafe,38,11,9,18,34,39,-5,42,24/25
14,Espanyol,38,11,9,18,40,51,-11,42,24/25
15,Alaves,38,10,12,16,38,48,-10,42,24/25
16,Girona,38,11,8,19,44,60,-16,41,24/25
17,Sevilla,38,10,11,17,42,55,-13,41,24/25
18,Leganes (R),38,9,13,16,39,56,-17,40,24/25
19,Las Palmas (R),38,8,8,22,40,61,-21,32,24/25
20,Valladolid (R),38,4,4,30,26,90,-64,16,24/25
1,Real Madrid (C),38,29,8,1,87,26,61,95,23/24
2,Barcelona,38,26,7,5,79,44,35,85,23/24
3,Girona,38,25,6,7,85,46,39,81,23/24
4,Atletico Madrid,38,24,4,10,70,43,27,76,23/24
5,Athletic Bilbao,38,19,11,8,61,37,24,68,23/24
6,Real Sociedad,38,16,12,10,51,39,12,60,23/24
7,Real Betis,38,14,15,9,48,45,3,57,23/24
8,Villarreal,38,14,11,13,65,65,0,53,23/24
9,Valencia,38,13,10,15,40,45,-5,49,23/24
10,Alaves,38,12,10,16,36,46,-10,46,23/24
11,Osasuna,38,12,9,17,45,56,-11,45,23/24
12,Getafe,38,10,13,15,42,54,-12,43,23/24
13,Celta Vigo,38,10,11,17,46,57,-11,41,23/24
14,Sevilla,38,10,11,17,48,54,-6,41,23/24
15,Mallorca,38,8,16,14,33,44,-11,40,23/24
16,Las Palmas,38,10,10,18,33,47,-14,40,23/24
17,Rayo Vallecano,38,8,14,16,29,48,-19,38,23/24
18,Cadiz (R),38,6,15,17,26,55,-29,33,23/24
19,Almeria (R),38,3,12,23,43,75,-32,21,23/24
20,Granada (R),38,4,9,25,38,79,-41,21,23/24
1,Barcelona (C),38,28,4,6,70,20,50,88,22/23
2,Real Madrid,38,24,6,8,75,36,39,78,22/23
3,Atletico Madrid,38,23,8,7,70,33,37,77,22/23
4,Real Sociedad,38,21,8,9,51,35,16,71,22/23
5,Villarreal,38,19,7,12,59,40,19,64,22/23
6,Real Betis,38,17,9,12,46,41,5,60,22/23
7,Osasuna,38,15,8,15,37,42,-5,53,22/23
8,Athletic Bilbao,38,14,9,15,47,43,4,51,22/23
9,Mallorca,38,14,8,16,37,43,-6,50,22/23
10,Girona,38,13,10,15,58,55,3,49,22/23
11,Rayo Vallecano,38,13,10,15,45,53,-8,49,22/23
12,Sevilla,38,13,10,15,47,54,-7,49,22/23
13,Celta Vigo,38,11,10,17,43,53,-10,43,22/23
14,Cadiz,38,10,12,16,30,53,-23,42,22/23
15,Getafe,38,10,12,16,34,45,-11,42,22/23
16,Valencia,38,11,9,18,42,45,-3,42,22/23
17,Almeria,38,11,8,19,49,65,-16,41,22/23
18,Valladolid (R),38,11,7,20,33,63,-30,40,22/23
19,Espanyol (R),38,8,13,17,52,69,-17,37,22/23
20,Elche (R),38,5,10,23,30,67,-37,25,22/23
1,Real Madrid (C),38,26,8,4,80,31,49,86,21/22
2,Barcelona,38,21,10,7,68,38,30,73,21/22
3,Atletico Madrid,38,21,8,9,65,43,22,71,21/22
4,Sevilla,38,18,16,4,53,30,23,70,21/22
5,Real Betis,38,19,8,11,62,40,22,65,21/22
6,Real Sociedad,38,17,11,10,40,37,3,62,21/22
7,Villarreal,38,16,11,11,63,37,26,59,21/22
8,Athletic Bilbao,38,14,13,11,43,36,7,55,21/22
9,Valencia,38,11,15,12,48,53,-5,48,21/22
10,Osasuna,38,12,11,15,37,51,-14,47,21/22
11,Celta Vigo,38,12,10,16,43,43,0,46,21/22
12,Rayo Vallecano,38,11,9,18,39,50,-11,42,21/22
13,Elche,38,11,9,18,40,52,-12,42,21/22
14,Espanyol,38,10,12,16,40,53,-13,42,21/22
15,Getafe,38,8,15,15,33,41,-8,39,21/22
16,Mallorca,38,10,9,19,36,63,-27,39,21/22
17,Cadiz,38,8,15,15,35,51,-16,39,21/22
18,Granada (R),38,8,14,16,44,61,-17,38,21/22
19,Levante (R),38,8,11,19,51,76,-25,35,21/22
20,Alaves (R),38,8,7,23,31,65,-34,31,21/22
1,Atletico Madrid (C),38,26,8,4,67,25,42,86,20/21
2,Real Madrid,38,25,9,4,67,28,39,84,20/21
3,Barcelona,38,24,7,7,85,38,47,79,20/21
4,Sevilla,38,24,5,9,53,33,20,77,20/21
5,Real Sociedad,38,17,11,10,59,38,21,62,20/21
6,Real Betis,38,17,10,11,50,50,0,61,20/21
7,Villarreal,38,15,13,10,60,44,16,58,20/21
8,Celta Vigo,38,14,11,13,55,57,-2,53,20/21
9,Granada,38,13,7,18,47,65,-18,46,20/21
10,Athletic Bilbao,38,11,13,14,46,42,4,46,20/21
11,Osasuna,38,11,11,16,37,48,-11,44,20/21
12,Cadiz,38,11,11,16,36,58,-22,44,20/21
13,Valencia,38,10,13,15,50,53,-3,43,20/21
14,Levante,38,9,14,15,46,57,-11,41,20/21
15,Getafe,38,9,11,18,28,43,-15,38,20/21
16,Alaves,38,9,11,18,36,57,-21,38,20/21
17,Elche,38,8,12,18,34,55,-21,36,20/21
18,Huesca (R),38,7,13,18,34,53,-19,34,20/21
19,Valladolid (R),38,5,16,17,34,57,-23,31,20/21
20,Eibar (R),38,6,12,20,29,52,-23,30,20/21
1,Real Madrid (C),38,26,9,3,70,25,45,87,19/20
2,Barcelona,38,25,7,6,86,38,48,82,19/20
3,Atletico Madrid,38,18,16,4,51,27,24,70,19/20
4,Sevilla,38,19,13,6,54,34,20,70,19/20
5,Villarreal,38,18,6,14,63,49,14,60,19/20
6,Real Sociedad,38,16,8,14,56,48,8,56,19/20
7,Granada,38,16,8,14,52,45,7,56,19/20
8,Getafe,38,14,12,12,43,37,6,54,19/20
9,Valencia,38,14,11,13,46,53,-7,53,19/20
10,Osasuna,38,13,13,12,46,54,-8,52,19/20
11,Athletic Bilbao,38,13,12,13,41,38,3,51,19/20
12,Levante,38,14,7,17,47,53,-6,49,19/20
13,Valladolid,38,9,15,14,32,43,-11,42,19/20
14,Eibar,38,11,9,18,39,56,-17,42,19/20
15,Real Betis,38,10,11,17,48,60,-12,41,19/20
16,Alaves,38,10,9,19,34,59,-25,39,19/20
17,Celta Vigo,38,7,16,15,37,49,-12,37,19/20
18,Leganes (R),38,8,12,18,30,51,-21,36,19/20
19,Mallorca (R),38,9,6,23,40,65,-25,33,19/20
20,Espanyol (R),38,5,10,23,27,58,-31,25,19/20
1,Barcelona (C),38,26,9,3,90,36,54,87,18/19
2,Atletico Madrid,38,22,10,6,55,29,26,76,18/19
3,Real Madrid,38,21,5,12,63,46,17,68,18/19
4,Valencia,38,15,16,7,51,35,16,61,18/19
5,Getafe,38,15,14,9,48,35,13,59,18/19
6,Sevilla,38,17,8,13,62,47,15,59,18/19
7,Espanyol,38,14,11,13,48,50,-2,53,18/19
8,Athletic Bilbao,38,13,14,11,41,45,-4,53,18/19
9,Real Sociedad,38,13,11,14,45,46,-1,50,18/19
10,Real Betis,38,14,8,16,44,52,-8,50,18/19
11,Alaves,38,13,11,14,39,50,-11,50,18/19
12,Eibar,38,11,14,13,46,50,-4,47,18/19
13,Leganes,38,11,12,15,37,43,-6,45,18/19
14,Villarreal,38,10,14,14,49,52,-3,44,18/19
15,Levante,38,11,11,16,59,66,-7,44,18/19
16,Valladolid,38,10,11,17,32,51,-19,41,18/19
17,Celta Vigo,38,10,11,17,53,62,-9,41,18/19
18,Girona (R),38,9,10,19,37,53,-16,37,18/19
19,Huesca (R),38,7,12,19,43,65,-22,33,18/19
20,Rayo Vallecano (R),38,8,8,22,41,70,-29,32,18/19
1,Barcelona (C),38,28,9,1,99,29,70,93,17/18
2,Atletico Madrid,38,23,10,5,58,22,36,79,17/18
3,Real Madrid,38,22,10,6,94,44,50,76,17/18
4,Valencia,38,22,7,9,65,38,27,73,17/18
5,Villarreal,38,18,7,13,57,50,7,61,17/18
6,Real Betis,38,18,6,14,60,61,-1,60,17/18
7,Sevilla,38,17,7,14,49,58,-9,58,17/18
8,Getafe,38,15,10,13,42,33,9,55,17/18
9,Eibar,38,14,9,15,44,50,-6,51,17/18
10,Girona,38,14,9,15,50,59,-9,51,17/18
11,Espanyol,38,12,13,13,36,42,-6,49,17/18
12,Real Sociedad,38,14,7,17,66,59,7,49,17/18
13,Celta Vigo,38,13,10,15,59,60,-1,49,17/18
14,Alaves,38,15,2,21,40,50,-10,47,17/18
15,Levante,38,11,13,14,44,58,-14,46,17/18
16,Athletic Bilbao,38,10,13,15,41,49,-8,43,17/18
17,Leganes,38,12,7,19,34,51,-17,43,17/18
18,Deportivo La Coruna (R),38,6,11,21,38,76,-38,29,17/18
19,Las Palmas (R),38,5,7,26,24,74,-50,22,17/18
20,Malaga (R),38,5,5,28,24,61,-37,20,17/18
1,Real Madrid (C),38,29,6,3,106,41,65,93,16/17
2,Barcelona,38,28,6,4,116,37,79,90,16/17
3,Atletico Madrid,38,23,9,6,70,27,43,78,16/17
4,Sevilla,38,21,9,8,69,49,20,72,16/17
5,Villarreal,38,19,10,9,56,33,23,67,16/17
6,Real Sociedad,38,19,7,12,59,53,6,64,16/17
7,Athletic Bilbao,38,19,6,13,53,43,10,63,16/17
8,Espanyol,38,15,11,12,49,50,-1,56,16/17
9,Alaves,38,14,13,11,41,43,-2,55,16/17
10,Eibar,38,15,9,14,56,51,5,54,16/17
11,Malaga,38,12,10,16,49,55,-6,46,16/17
12,Valencia,38,13,7,18,56,65,-9,46,16/17
13,Celta Vigo,38,13,6,19,53,69,-16,45,16/17
14,Las Palmas,38,10,9,19,53,74,-21,39,16/17
15,Real Betis,38,10,9,19,41,64,-23,39,16/17
16,Deportivo La Coruna,38,8,12,18,43,61,-18,36,16/17
17,Leganes,38,8,11,19,36,55,-19,35,16/17
18,Sporting Gijon (R),38,7,10,21,42,72,-30,31,16/17
19,Osasuna (R),38,4,10,24,40,94,-54,22,16/17
20,Granada (R),38,4,8,26,30,82,-52,20,16/17
1,Barcelona (C),38,29,4,5,112,29,83,91,15/16
2,Real Madrid,38,28,6,4,110,34,76,90,15/16
3,Atletico Madrid,38,28,4,6,63,18,45,88,15/16
4,Villarreal,38,18,10,10,44,35,9,64,15/16
5,Athletic Bilbao,38,18,8,12,58,45,13,62,15/16
6,Celta Vigo,38,17,9,12,51,59,-8,60,15/16
7,Sevilla,38,14,10,14,51,50,1,52,15/16
8,Malaga,38,12,12,14,38,35,3,48,15/16
9,Real Sociedad,38,13,9,16,45,48,-3,48,15/16
10,Real Betis,38,11,12,15,34,52,-18,45,15/16
11,Las Palmas,38,12,8,18,45,53,-8,44,15/16
12,Valencia,38,11,11,16,46,48,-2,44,15/16
13,Espanyol,38,12,7,19,40,74,-34,43,15/16
14,Eibar,38,11,10,17,49,61,-12,43,15/16
15,Deportivo La Coruna,38,8,18,12,45,61,-16,42,15/16
16,Granada,38,10,9,19,46,69,-23,39,15/16
17,Sporting Gijon,38,10,9,19,40,62,-22,39,15/16
18,Rayo Vallecano (R),38,9,11,18,52,73,-21,38,15/16
19,Getafe (R),38,9,9,20,37,67,-30,36,15/16
20,Levante (R),38,8,8,22,37,70,-33,32,15/16
1,Barcelona (C),38,30,4,4,110,21,89,94,14/15
2,Real Madrid,38,30,2,6,118,38,80,92,14/15
3,Atletico Madrid,38,23,9,6,67,29,38,78,14/15
4,Valencia,38,22,11,5,70,32,38,77,14/15
5,Sevilla,38,23,7,8,71,45,26,76,14/15
6,Villarreal,38,16,12,10,48,37,11,60,14/15
7,Athletic Bilbao,38,15,10,13,42,41,1,55,14/15
8,Celta Vigo,38,13,12,13,47,44,3,51,14/15
9,Malaga,38,14,8,16,42,48,-6,50,14/15
10,Espanyol,38,13,10,15,47,51,-4,49,14/15
11,Rayo Vallecano,38,15,4,19,46,68,-22,49,14/15
12,Real Sociedad,38,11,13,14,44,51,-7,46,14/15
13,Elche[d] (R),38,11,8,19,35,62,-27,41,14/15
14,Levante,38,9,10,19,34,67,-33,37,14/15
15,Getafe,38,10,7,21,33,64,-31,37,14/15
16,Deportivo La Coruna,38,7,14,17,35,60,-25,35,14/15
17,Granada,38,7,14,17,29,64,-35,35,14/15
18,Eibar,38,9,8,21,34,55,-21,35,14/15
19,Almeria[g] (R),38,8,8,22,35,64,-29,29,14/15
20,Cordoba (R),38,3,11,24,22,68,-46,20,14/15
